LineId,Date,Time,Level,Process,Component,Content,EventId,EventTemplate
1431150,2015-10-18,18:04:11.51,INFO,main,org.apache.hadoop.mapred.TaskAttemptListenerImpl,Created MRAppMaster for application appattempt_1445144423722_0020_000001,E33,Progress of TaskAttempt attempt_<*> is : <*>.<*>
8448160,2015-10-18,18:02:46.14,INFO,IPC Server handler 0 on 62270,org.apache.hadoop.mapreduce.v2.app.rm.RMContainerAllocator,Created MRAppMaster for application appattempt_1445144423722_0020_000001,E80,"Error Recovery for block BP-<*>:blk_<*> in pipeline <*>:<*>, <*>:<*>: bad datanode <*>:<*>"
9216444,2015-10-18,18:08:25.73,INFO,RMCommunicator Allocator,org.apache.hadoop.mapreduce.v2.app.rm.RMContainerAllocator,Created MRAppMaster for application appattempt_1445144423722_0020_000001,E44,JVM with ID : jvm_<*> asked for a task
7084138,2015-10-18,18:07:04.22,WARN,LeaseRenewer:msrabi@msra-sa-41:9000,org.apache.hadoop.ipc.Client,Address change detected. Old: msra-sa-41/10.190.173.170:9000 New: msra-sa-41:9000,E44,Address change detected. Old: <*>/<*>:<*> New: <*>:<*>
12543086,2015-10-18,18:01:48.26,WARN,RMCommunicator Allocator,org.apache.hadoop.hdfs.DFSClient,Address change detected. Old: msra-sa-41/10.190.173.170:9000 New: msra-sa-41:9000,E74,Opening proxy : <*>:<*>
9023531,2015-10-18,18:01:47.00,INFO,main,org.apache.hadoop.yarn.client.api.impl.ContainerManagementProtocolProxy,Created MRAppMaster for application appattempt_1445144423722_0020_000001,E76,Web app /mapreduce started at <*>
9032645,2015-10-18,18:03:57.26,INFO,IPC Server handler 25 on 62270,org.apache.hadoop.ipc.Client,Created MRAppMaster for application appattempt_1445144423722_0020_000001,E58,"Event Writer setup for JobId: job_<*>, File: hdfs://<*>"
14587293,2015-10-18,18:01:47.00,INFO,RMCommunicator Allocator,org.apache.hadoop.mapreduce.v2.app.rm.RMContainerAllocator,Created MRAppMaster for application appattempt_1445144423722_0020_000001,E85,"Retrying connect to server: <*>:<*>. Already tried <*> time(s); retry policy is RetryUpToMaximumCountWithFixedSleep(maxRetries=<*>, sleepTime=<*> MILLISECONDS)"
14773446,2015-10-18,18:06:49.51,WARN,RMCommunicator Allocator,org.apache.hadoop.mapreduce.v2.app.rm.RMContainerAllocator,Address change detected. Old: msra-sa-41/10.190.173.170:9000 New: msra-sa-41:9000,E91,Error writing History Event: org.apache.hadoop.mapreduce.jobhistory.TaskAttemptUnsuccessfulCompletionEvent@<*>
11864183,2015-10-18,18:08:56.87,WARN,LeaseRenewer:msrabi@msra-sa-41:9000,org.apache.hadoop.ipc.Client,Address change detected. Old: msra-sa-41/10.190.173.170:9000 New: msra-sa-41:9000,E10,Address change detected. Old: <*>/<*>:<*> New: <*>:<*>
6842867,2015-10-18,18:02:02.30,INFO,main,org.apache.hadoop.http.HttpServer2,Created MRAppMaster for application appattempt_1445144423722_0020_000001,E59,Shuffle port returned by ContainerManager for attempt_<*> : <*>
1642447,2015-10-18,18:01:47.00,INFO,main,org.apache.hadoop.mapreduce.v2.app.job.impl.TaskImpl,Created MRAppMaster for application appattempt_1445144423722_0020_000001,E15,task_<*> Task Transitioned from SCHEDULED to RUNNING
15959184,2015-10-18,18:04:29.19,INFO,main,org.apache.hadoop.metrics2.impl.MetricsSystemImpl,Created MRAppMaster for application appattempt_1445144423722_0020_000001,E104,Reduce slow start threshold not met. completedMapsForReduceSlowstart <*>
15552659,2015-10-18,18:04:08.33,INFO,IPC Server handler 18 on 62270,org.apache.hadoop.mapreduce.v2.app.launcher.ContainerLauncherImpl,Created MRAppMaster for application appattempt_1445144423722_0020_000001,E83,queue: default
8818774,2015-10-18,18:04:35.91,INFO,IPC Server handler 11 on 62270,org.apache.hadoop.mapreduce.v2.app.speculate.DefaultSpeculator,Created MRAppMaster for application appattempt_1445144423722_0020_000001,E21,Launching attempt_<*>
12638490,2015-10-18,18:10:43.07,WARN,LeaseRenewer:msrabi@msra-sa-41:9000,org.apache.hadoop.hdfs.LeaseRenewer,Address change detected. Old: msra-sa-41/10.190.173.170:9000 New: msra-sa-41:9000,E44,Address change detected. Old: <*>/<*>:<*> New: <*>:<*>
2062809,2015-10-18,18:07:55.07,ERROR,RMCommunicator Allocator,org.apache.hadoop.mapreduce.v2.app.rm.RMContainerAllocator,Container complete event for unknown container id container_1445144423722_0020_01_000012,E38,Task: attempt_<*> - exited : java.net.NoRouteToHostException: No Route to Host from  MININT-<*>/<*> to <*>:<*> failed on socket timeout exception: java.net.NoRouteToHostException: No route to host: no further information; For more details see:  http://wiki.apache.org/hadoop/NoRouteToHost
5287979,2015-10-18,18:02:20.71,INFO,main,org.apache.hadoop.hdfs.LeaseRenewer,Created MRAppMaster for application appattempt_1445144423722_0020_000001,E90,"Retrying connect to server: <*>:<*>. Already tried <*> time(s); retry policy is RetryUpToMaximumCountWithFixedSleep(maxRetries=<*>, sleepTime=<*> MILLISECONDS)"
16429336,2015-10-18,18:04:11.57,INFO,IPC Server handler 14 on 62270,org.apache.hadoop.mapreduce.v2.app.rm.RMContainerRequestor,Created MRAppMaster for application appattempt_1445144423722_0020_000001,E100,Shuffle port returned by ContainerManager for attempt_<*> : <*>
13185926,2015-10-18,18:02:21.66,INFO,IPC Server Responder,org.apache.hadoop.mapred.TaskAttemptListenerImpl,Created MRAppMaster for application appattempt_1445144423722_0020_000001,E114,attempt_<*> TaskAttempt Transitioned from UNASSIGNED to ASSIGNED
13500856,2015-10-18,18:08:07.68,WARN,LeaseRenewer:msrabi@msra-sa-41:9000,org.apache.hadoop.ipc.Client,Address change detected. Old: msra-sa-41/10.190.173.170:9000 New: msra-sa-41:9000,E10,Reduce slow start threshold not met. completedMapsForReduceSlowstart <*>
10048232,2015-10-18,18:04:19.39,INFO,ContainerLauncher #9,org.apache.hadoop.mapred.TaskAttemptListenerImpl,Created MRAppMaster for application appattempt_1445144423722_0020_000001,E13,Launching attempt_<*>
737398,2015-10-18,18:08:34.52,WARN,LeaseRenewer:msrabi@msra-sa-41:9000,org.apache.hadoop.hdfs.LeaseRenewer,Address change detected. Old: msra-sa-41/10.190.173.170:9000 New: msra-sa-41:9000,E44,Failed to renew lease for [DFSClient_NONMAPREDUCE_<*>_<*>] for <*> seconds.  Will retry shortly ...
13440047,2015-10-18,18:03:59.74,INFO,CommitterEvent Processor #2,org.apache.hadoop.mapred.TaskAttemptListenerImpl,Created MRAppMaster for application appattempt_1445144423722_0020_000001,E113,"Recalculating schedule, headroom=<memory:<*>, vCores:<*>>"
15884931,2015-10-18,18:08:21.14,ERROR,RMCommunicator Allocator,org.apache.hadoop.mapreduce.v2.app.rm.RMContainerAllocator,Container complete event for unknown container id container_1445144423722_0020_01_000012,E38,ERROR IN CONTACTING RM.
13252471,2015-10-18,18:02:21.27,INFO,main,org.apache.hadoop.hdfs.DFSClient,Created MRAppMaster for application appattempt_1445144423722_0020_000001,E91,Opening proxy : <*>:<*>
7315818,2015-10-18,18:04:07.30,INFO,main,SecurityLogger.org.apache.hadoop.ipc.Server,Created MRAppMaster for application appattempt_1445144423722_0020_000001,E101,JVM with ID: jvm_<*> given task: <*>_<*>
4106394,2015-10-18,18:01:47.00,INFO,ContainerLauncher #1,org.apache.hadoop.mapreduce.v2.app.job.impl.TaskAttemptImpl,Created MRAppMaster for application appattempt_1445144423722_0020_000001,E78,Starting Socket Reader #<*> for port <*>
14831233,2015-10-18,18:04:28.44,INFO,main,org.apache.hadoop.mapreduce.v2.app.rm.RMContainerAllocator,Created MRAppMaster for application appattempt_1445144423722_0020_000001,E89,ATTEMPT_START task_<*>
6187950,2015-10-18,18:01:59.20,INFO,main,org.mortbay.log,Created MRAppMaster for application appattempt_1445144423722_0020_000001,E89,Added filter AM_PROXY_FILTER (class=org.apache.hadoop.yarn.server.webproxy.amfilter.AmIpFilter) to context mapreduce
12061912,2015-10-18,18:10:39.90,ERROR,RMCommunicator Allocator,org.apache.hadoop.mapreduce.v2.app.rm.RMContainerAllocator,Container complete event for unknown container id container_1445144423722_0020_01_000012,E38,ERROR IN CONTACTING RM.
5105294,2015-10-18,18:01:47.00,INFO,main,org.apache.hadoop.mapreduce.v2.app.rm.RMContainerRequestor,Created MRAppMaster for application appattempt_1445144423722_0020_000001,E94,attempt_<*> TaskAttempt Transitioned from ASSIGNED to RUNNING
4370238,2015-10-18,18:08:01.32,WARN,LeaseRenewer:msrabi@msra-sa-41:9000,org.apache.hadoop.hdfs.LeaseRenewer,Address change detected. Old: msra-sa-41/10.190.173.170:9000 New: msra-sa-41:9000,E44,Failed to renew lease for [DFSClient_NONMAPREDUCE_<*>_<*>] for <*> seconds.  Will retry shortly ...
900189,2015-10-18,18:10:55.00,WARN,LeaseRenewer:msrabi@msra-sa-41:9000,org.apache.hadoop.hdfs.LeaseRenewer,Address change detected. Old: msra-sa-41/10.190.173.170:9000 New: msra-sa-41:9000,E44,Failed to renew lease for [DFSClient_NONMAPREDUCE_<*>_<*>] for <*> seconds.  Will retry shortly ...
5026101,2015-10-18,18:10:21.08,WARN,LeaseRenewer:msrabi@msra-sa-41:9000,org.apache.hadoop.hdfs.LeaseRenewer,Address change detected. Old: msra-sa-41/10.190.173.170:9000 New: msra-sa-41:9000,E10,Address change detected. Old: <*>/<*>:<*> New: <*>:<*>
1959300,2015-10-18,18:04:14.37,INFO,IPC Server handler 12 on 62270,org.apache.hadoop.mapred.TaskAttemptListenerImpl,Created MRAppMaster for application appattempt_1445144423722_0020_000001,E90,The job-conf file on the remote FS is <*>
4003618,2015-10-18,18:09:08.57,ERROR,RMCommunicator Allocator,org.apache.hadoop.mapreduce.v2.app.rm.RMContainerAllocator,Container complete event for unknown container id container_1445144423722_0020_01_000012,E38,ERROR IN CONTACTING RM.
2232986,2015-10-18,18:01:47.00,INFO,RMCommunicator Allocator,org.apache.hadoop.mapred.TaskAttemptListenerImpl,Created MRAppMaster for application appattempt_1445144423722_0020_000001,E31,Resolved <*> to /default-rack
15342791,2015-10-18,18:01:47.00,INFO,RMCommunicator Allocator,org.apache.hadoop.mapreduce.v2.app.rm.RMContainerAllocator,Created MRAppMaster for application appattempt_1445144423722_0020_000001,E91,Connecting to ResourceManager at <*>/<*>:<*>
5467119,2015-10-18,18:02:10.17,INFO,ContainerLauncher #3,org.apache.hadoop.mapred.TaskAttemptListenerImpl,Created MRAppMaster for application appattempt_1445144423722_0020_000001,E111,Shuffle port returned by ContainerManager for attempt_<*> : <*>
635248,2015-10-18,18:01:54.30,INFO,ContainerLauncher #6,org.apache.hadoop.http.HttpServer2,Created MRAppMaster for application appattempt_1445144423722_0020_000001,E89,"MRAppMaster launching normal, non-uberized, multi-container job job_<*>."
4439400,2015-10-18,18:04:39.73,INFO,main,org.apache.hadoop.ipc.Client,Created MRAppMaster for application appattempt_1445144423722_0020_000001,E43,task_<*> Task Transitioned from SCHEDULED to RUNNING
8147509,2015-10-18,18:01:47.00,INFO,AsyncDispatcher event handler,org.apache.hadoop.mapreduce.v2.app.rm.RMContainerAllocator,Created MRAppMaster for application appattempt_1445144423722_0020_000001,E71,Launching attempt_<*>
2860609,2015-10-18,18:07:26.44,WARN,LeaseRenewer:msrabi@msra-sa-41:9000,org.apache.hadoop.hdfs.LeaseRenewer,Address change detected. Old: msra-sa-41/10.190.173.170:9000 New: msra-sa-41:9000,E44,Failed to renew lease for [DFSClient_NONMAPREDUCE_<*>_<*>] for <*> seconds.  Will retry shortly ...
3502994,2015-10-18,18:04:24.62,INFO,ResponseProcessor for block BP-1347369012-10.190.173.170-1444972147527:blk_1073743512_2731,org.apache.hadoop.mapred.TaskAttemptListenerImpl,Created MRAppMaster for application appattempt_1445144423722_0020_000001,E37,Progress of TaskAttempt attempt_<*> is : <*>.<*>
1106171,2015-10-18,18:07:46.91,WARN,RMCommunicator Allocator,org.apache.hadoop.mapreduce.v2.app.job.impl.TaskAttemptImpl,Address change detected. Old: msra-sa-41/10.190.173.170:9000 New: msra-sa-41:9000,E74,Failed to renew lease for [DFSClient_NONMAPREDUCE_<*>_<*>] for <*> seconds.  Will retry shortly ...
13793743,2015-10-18,18:02:18.03,INFO,main,org.apache.hadoop.mapreduce.v2.app.job.impl.TaskAttemptImpl,Created MRAppMaster for application appattempt_1445144423722_0020_000001,E79,task_<*> Task Transitioned from RUNNING to SUCCEEDED
10440881,2015-10-18,18:04:24.98,INFO,IPC Server handler 8 on 62270,org.apache.hadoop.metrics2.impl.MetricsSystemImpl,Created MRAppMaster for application appattempt_1445144423722_0020_000001,E77,After Scheduling: PendingReds:<*> ScheduledMaps:<*> ScheduledReds:<*> AssignedMaps:<*> AssignedReds:<*> CompletedMaps:<*> CompletedReds:0 ContAlloc:<*> ContRel:<*> HostLocal:<*> RackLocal:<*>
2910984,2015-10-18,18:09:14.90,WARN,LeaseRenewer:msrabi@msra-sa-41:9000,org.apache.hadoop.ipc.Client,Address change detected. Old: msra-sa-41/10.190.173.170:9000 New: msra-sa-41:9000,E44,Address change detected. Old: <*>/<*>:<*> New: <*>:<*>
12911651,2015-10-18,18:02:07.95,INFO,main,org.apache.hadoop.mapreduce.v2.app.rm.RMContainerAllocator,Created MRAppMaster for application appattempt_1445144423722_0020_000001,E110,Scheduled snapshot period at <*> second(s).
13082629,2015-10-18,18:04:29.51,INFO,RMCommunicator Allocator,org.apache.hadoop.mapreduce.v2.app.rm.RMContainerAllocator,Created MRAppMaster for application appattempt_1445144423722_0020_000001,E91,Processing the event EventType: CONTAINER_REMOTE_<*> for container container_<*> taskAttempt attempt_<*>
617466,2015-10-18,18:02:02.81,INFO,main,org.apache.hadoop.mapreduce.v2.app.job.impl.TaskAttemptImpl,Created MRAppMaster for application appattempt_1445144423722_0020_000001,E90,Diagnostics report from attempt_<*>: Error: java.net.NoRouteToHostException: No Route to Host from  MININT-<*>/<*> to <*>:<*> failed on socket timeout exception: java.net.NoRouteToHostException: No route to host: no further information; For more details see:  http://wiki.apache.org/hadoop/NoRouteToHost
11396764,2015-10-18,18:07:26.52,ERROR,RMCommunicator Allocator,org.apache.hadoop.mapreduce.v2.app.rm.RMContainerAllocator,Container complete event for unknown container id container_1445144423722_0020_01_000012,E38,ERROR IN CONTACTING RM.
14515188,2015-10-18,18:10:17.19,WARN,LeaseRenewer:msrabi@msra-sa-41:9000,org.apache.hadoop.hdfs.LeaseRenewer,Address change detected. Old: msra-sa-41/10.190.173.170:9000 New: msra-sa-41:9000,E44,Failed to renew lease for [DFSClient_NONMAPREDUCE_<*>_<*>] for <*> seconds.  Will retry shortly ...
10268823,2015-10-18,18:09:14.30,WARN,LeaseRenewer:msrabi@msra-sa-41:9000,org.apache.hadoop.hdfs.LeaseRenewer,Address change detected. Old: msra-sa-41/10.190.173.170:9000 New: msra-sa-41:9000,E10,Address change detected. Old: <*>/<*>:<*> New: <*>:<*>
807391,2015-10-18,18:07:06.26,WARN,LeaseRenewer:msrabi@msra-sa-41:9000,org.apache.hadoop.ipc.Client,Address change detected. Old: msra-sa-41/10.190.173.170:9000 New: msra-sa-41:9000,E44,Failed to renew lease for [DFSClient_NONMAPREDUCE_<*>_<*>] for <*> seconds.  Will retry shortly ...
1785828,2015-10-18,18:08:31.32,ERROR,main,org.apache.hadoop.mapreduce.v2.app.job.impl.TaskAttemptImpl,Container complete event for unknown container id container_1445144423722_0020_01_000012,E91,blacklistDisablePercent is <*>
6215516,2015-10-18,18:01:47.00,INFO,IPC Server handler 26 on 62270,org.apache.hadoop.mapreduce.v2.app.launcher.ContainerLauncherImpl,Created MRAppMaster for application appattempt_1445144423722_0020_000001,E89,OutputCommitter is org.apache.hadoop.mapreduce.lib.output.FileOutputCommitter
14946131,2015-10-18,18:02:26.10,INFO,AsyncDispatcher event handler,org.apache.hadoop.ipc.Server,Created MRAppMaster for application appattempt_1445144423722_0020_000001,E51,DFSOutputStream ResponseProcessor exception  for block BP-<*>:blk_<*>
7439515,2015-10-18,18:01:47.00,INFO,DefaultSpeculator background processing,org.apache.hadoop.mapreduce.v2.app.MRAppMaster,Created MRAppMaster for application appattempt_1445144423722_0020_000001,E64,"maxContainerCapability: <memory:<*>, vCores:<*>>"
1738296,2015-10-18,18:03:09.26,WARN,RMCommunicator Allocator,org.apache.hadoop.ipc.Client,Address change detected. Old: msra-sa-41/10.190.173.170:9000 New: msra-sa-41:9000,E99,Registering class org.apache.hadoop.mapreduce.<*> for class org.apache.hadoop.mapreduce.<*>
3693435,2015-10-18,18:02:13.83,INFO,main,org.apache.hadoop.mapreduce.v2.app.job.impl.TaskAttemptImpl,Created MRAppMaster for application appattempt_1445144423722_0020_000001,E89,Done acknowledgement from attempt_<*>
16652351,2015-10-18,18:02:24.07,INFO,RMCommunicator Allocator,org.apache.hadoop.mapreduce.v2.app.job.impl.TaskAttemptImpl,Created MRAppMaster for application appattempt_1445144423722_0020_000001,E85,Shuffle port returned by ContainerManager for attempt_<*> : <*>
7893405,2015-10-18,18:08:12.99,ERROR,RMCommunicator Allocator,org.apache.hadoop.mapreduce.v2.app.rm.RMContainerAllocator,Container complete event for unknown container id container_1445144423722_0020_01_000012,E38,ERROR IN CONTACTING RM.
1372049,2015-10-18,18:10:21.62,ERROR,RMCommunicator Allocator,org.apache.hadoop.mapreduce.v2.app.rm.RMContainerAllocator,Container complete event for unknown container id container_1445144423722_0020_01_000012,E38,ERROR IN CONTACTING RM.
8992243,2015-10-18,18:04:28.26,INFO,IPC Server handler 25 on 62270,org.apache.hadoop.mapreduce.v2.app.rm.RMContainerAllocator,Created MRAppMaster for application appattempt_1445144423722_0020_000001,E84,attempt_<*> TaskAttempt Transitioned from FAIL_CONTAINER_CLEANUP to FAIL_TASK_CLEANUP
12507966,2015-10-18,18:04:04.46,INFO,main,org.apache.hadoop.mapreduce.v2.app.rm.RMContainerAllocator,Created MRAppMaster for application appattempt_1445144423722_0020_000001,E25,"Thread Thread[eventHandlingThread,<*>,main] threw an Exception."
13670681,2015-10-18,18:02:15.37,INFO,AsyncDispatcher event handler,org.mortbay.log,Created MRAppMaster for application appattempt_1445144423722_0020_000001,E74,Done acknowledgement from attempt_<*>
10692994,2015-10-18,18:02:37.44,INFO,IPC Server handler 8 on 62270,org.apache.hadoop.mapreduce.v2.app.job.impl.TaskAttemptImpl,Created MRAppMaster for application appattempt_1445144423722_0020_000001,E90,Created MRAppMaster for application appattempt_<*>
3025165,2015-10-18,18:03:45.12,INFO,AsyncDispatcher event handler,SecurityLogger.org.apache.hadoop.ipc.Server,Created MRAppMaster for application appattempt_1445144423722_0020_000001,E104,Default file system [hdfs://<*>:<*>]
4236232,2015-10-18,18:04:03.83,INFO,IPC Server handler 28 on 62270,org.apache.hadoop.mapred.TaskAttemptListenerImpl,Created MRAppMaster for application appattempt_1445144423722_0020_000001,E31,"Event Writer setup for JobId: job_<*>, File: hdfs://<*>"
2726452,2015-10-18,18:04:21.09,INFO,eventHandlingThread,org.apache.hadoop.mapreduce.v2.app.job.impl.TaskAttemptImpl,Created MRAppMaster for application appattempt_1445144423722_0020_000001,E42,Got allocated containers <*>
3568166,2015-10-18,18:02:16.85,INFO,IPC Server handler 18 on 62270,org.apache.hadoop.mapred.TaskAttemptListenerImpl,Created MRAppMaster for application appattempt_1445144423722_0020_000001,E74,Progress of TaskAttempt attempt_<*> is : <*>.<*>
2381733,2015-10-18,18:02:21.63,INFO,IPC Server handler 19 on 62270,org.apache.hadoop.mapreduce.v2.app.rm.RMContainerAllocator,Created MRAppMaster for application appattempt_1445144423722_0020_000001,E110,JVM with ID: jvm_<*> given task: <*>_<*>
8652618,2015-10-18,18:04:03.53,INFO,IPC Server handler 23 on 62270,org.apache.hadoop.mapred.TaskAttemptListenerImpl,Created MRAppMaster for application appattempt_1445144423722_0020_000001,E80,Progress of TaskAttempt attempt_<*> is : <*>.<*>
9501289,2015-10-18,18:04:39.43,INFO,IPC Server handler 27 on 62270,org.apache.hadoop.mapred.TaskAttemptListenerImpl,Created MRAppMaster for application appattempt_1445144423722_0020_000001,E80,Progress of TaskAttempt attempt_<*> is : <*>.<*>
9640714,2015-10-18,18:06:41.29,INFO,main,org.apache.hadoop.mapreduce.v2.app.speculate.DefaultSpeculator,Created MRAppMaster for application appattempt_1445144423722_0020_000001,E35,ERROR IN CONTACTING RM.
6638285,2015-10-18,18:07:19.04,WARN,LeaseRenewer:msrabi@msra-sa-41:9000,org.apache.hadoop.ipc.Client,Address change detected. Old: msra-sa-41/10.190.173.170:9000 New: msra-sa-41:9000,E10,Failed to renew lease for [DFSClient_NONMAPREDUCE_<*>_<*>] for <*> seconds.  Will retry shortly ...
11531249,2015-10-18,18:04:00.35,INFO,main,org.apache.hadoop.mapreduce.v2.app.job.impl.TaskAttemptImpl,Created MRAppMaster for application appattempt_1445144423722_0020_000001,E68,task_<*> Task Transitioned from SCHEDULED to RUNNING
11433482,2015-10-18,18:04:21.86,INFO,IPC Server listener on 62260,SecurityLogger.org.apache.hadoop.ipc.Server,Created MRAppMaster for application appattempt_1445144423722_0020_000001,E27,Processing the event EventType: CONTAINER_REMOTE_<*> for container container_<*> taskAttempt attempt_<*>
6420961,2015-10-18,18:01:47.00,INFO,AsyncDispatcher event handler,org.apache.hadoop.ipc.Server,Created MRAppMaster for application appattempt_1445144423722_0020_000001,E89,Failed to renew lease for [DFSClient_NONMAPREDUCE_<*>_<*>] for <*> seconds.  Will retry shortly ...
